,group,names,scores,logfoldchanges,pvals,pvals_adj
3248,control,KANK3,-0.5479632,2.0604284,0.5837171882213397,0.9545661295524769
3249,control,CLEC17A,-0.5508306,1.7611667,0.5817498126048459,0.9521273528720883
3250,control,CFAP47,-0.5523788,,0.580688876904724,0.9511693315392694
3251,control,ADGRV1,-0.55357856,,0.5798672917487526,0.950602117620906
3252,control,CD36,-0.5537959,,0.5797185528853381,0.950602117620906
3253,control,LMO2,-0.55710936,,0.5774527338397621,0.9497019235374783
3254,control,RXFP1,-0.5630046,,0.5734317499057012,0.9465747381537483
3255,control,LINC01591,-0.563563,2.0021565,0.5730515641604668,0.9465747381537483
3256,control,PECAM1,-0.57788503,,0.5633417552419642,0.9334577551648121
3257,control,MORC1,-0.58562475,2.1583085,0.5581277193867611,0.9271224574530915
3258,control,NXPH1,-0.58614784,,0.557776158660907,0.9271224574530915
3259,control,CD4,-0.5893377,,0.5556347678492186,0.9245170846076849
3260,control,LINC02381,-0.5972581,2.28705,0.5503350849226385,0.9172251415377308
3261,control,MT1H,-0.5981328,2.005214,0.5497513211370544,0.9170163822136019
3262,control,PRF1,-0.6042061,1.7367076,0.5457066406685545,0.9110294501979207
3263,control,SINHCAF,-0.6066427,,0.5440880484797024,0.9090861294564785
3264,control,CD2,-0.607361,1.7122543,0.5436113670124685,0.9090491087165025
3265,control,TMEM71,-0.60994494,3.1690512,0.5418983001628881,0.9069427617788921
3266,control,STK32A,-0.6146318,,0.5387979161534171,0.9025090722837807
3267,control,ID3,-0.6156076,,0.5381535175333938,0.902185276669562
3268,control,LINC01931,-0.61709476,,0.5371722311823619,0.9012956899032918
3269,control,CYYR1,-0.6224627,2.9275916,0.5336376569706637,0.8987667793459684
3270,control,NXN,-0.6293439,,0.5291239170042548,0.8922831652685578
3271,control,AL645608.8,-0.63113856,2.1042287,0.527949909666626,0.8918072798422737
3272,control,DUSP5,-0.6360353,,0.5247533974347189,0.887157053989381
3273,control,CLEC19A,-0.6454886,3.5660806,0.5186105814103931,0.8797465333509636
3274,control,GNA13,-0.6478404,,0.5170882007435006,0.8779086600059434
3275,control,TAGAP,-0.6501795,3.6009138,0.5155762701237578,0.8768303913669352
3276,control,HIST1H2BH,-0.6626521,1.9002123,0.5075533941988652,0.8646565488907415
