,group,names,scores,logfoldchanges,pvals,pvals_adj
190,0,RREB1,5.764114,,8.208794394979265e-09,5.6032726245592255e-08
191,0,PARP14,5.7584424,,8.489361769094858e-09,5.7750760333978634e-08
192,0,BMP6,5.734594,,9.77462113423639e-09,6.604473739348912e-08
193,0,RANBP3L,5.704358,,1.1678222907176475e-08,7.864123169815809e-08
194,0,RCSD1,5.668298,,1.4422322054415125e-08,9.647038163488379e-08
195,0,TMEM132C,5.656383,,1.5459644363732024e-08,1.0272188946001345e-07
196,0,LINC01482,5.6189733,,1.9209546883006938e-08,1.2679568899674546e-07
197,0,AKAP12,5.5182986,,3.422973484922323e-08,2.2372375718446558e-07
198,0,PLEKHG1,5.473226,,4.419151919808284e-08,2.860292504730281e-07
199,0,GADD45B,5.4604754,,4.748605332899536e-08,3.063616343806152e-07
200,0,LTBP2,5.4478116,,5.09932998995068e-08,3.279311890643524e-07
201,0,AC007319.1,5.3997045,,6.675082539027317e-08,4.238147643826868e-07
202,0,ITGB5,5.3823137,,7.353441400799804e-08,4.654076835949243e-07
203,0,STOM,5.3788123,,7.497883889330314e-08,4.7305261131421535e-07
204,0,ADGRF5,5.376289,,7.60366782385233e-08,4.782181021290774e-07
205,0,KCNK2,5.372309,,7.773474743847109e-08,4.873651877020131e-07
206,0,TMOD3,5.371131,,7.824446428901099e-08,4.890279018063187e-07
207,0,CPED1,5.340222,,9.283290220474607e-08,5.766018770481123e-07
208,0,SUSD6,5.3294854,,9.849150756975277e-08,6.079722689490911e-07
209,0,HLA-C,5.2907577,,1.2181074420984649e-07,7.473051792015122e-07
210,0,NR4A2,5.2899404,,1.2235616255080212e-07,7.483557342556704e-07
211,0,DDIT4,5.2807326,,1.286682570106421e-07,7.845625427478177e-07
212,0,ANGPTL4,5.2658467,,1.395446138556087e-07,8.457249324582345e-07
213,0,CYTOR,5.202551,,1.9657149177794624e-07,1.1735611449429626e-06
214,0,MDFIC,5.193868,,2.0596884119960243e-07,1.2260050071404906e-06
215,0,THSD7B,5.1828303,,2.1854363509073038e-07,1.296994867007302e-06
216,0,NAMPT,5.1296635,,2.9026075687364873e-07,1.7124528429123817e-06
217,0,ESAM,5.032962,,4.829586843484091e-07,2.80373593629052e-06
218,0,ITPR2,5.03269,,4.836444490101146e-07,2.80373593629052e-06
219,0,BMP5,5.0211005,,5.137626426769313e-07,2.969726258248158e-06
220,0,TNFRSF1B,4.932443,,8.120734508884535e-07,4.614053698229849e-06
221,0,PRDM6,4.882018,,1.0500566628367453e-06,5.932523518851669e-06
222,0,COL5A2,4.8501096,,1.233933557870596e-06,6.893483563522883e-06
